method replica alignment factor nl ei1 ei2 fp fn rf
method replica alignment factor nl ei1 ei2 fp fn rf
fastTree 20 0004 0 1001 998 998 381 381 0.381764
fastTree 20 0004 1 1001 998 998 417 417 0.417836
fastTree 20 0004 2 1001 998 998 547 547 0.548096
fastTree 20 0004 3 1001 998 998 751 751 0.752505
fastTree 20 0004 4 1001 998 998 936 936 0.937876
fastTree 20 0004 5 1001 998 998 977 977 0.978958
fastTree 20 0004 6 1001 998 998 996 996 0.997996
fastTree 20 0004 7 1001 998 998 996 996 0.997996
fastTree 20 0004 8 1001 998 998 998 998 1.000000
fastTree 20 0004 9 1001 998 998 998 998 1.000000
