method replica alignment factor nl ei1 ei2 fp fn rf
method replica alignment factor nl ei1 ei2 fp fn rf
fastTree 20 0005 -1 1001 998 998 391 391 0.391784
fastTree 20 0005 0 1001 998 998 478 478 0.478958
fastTree 20 0005 1 1001 998 870 664 792 0.779443
fastTree 20 0005 2 1001 998 348 289 939 0.912333
fastTree 20 0005 3 1001 998 77 67 988 0.981395
fastTree 20 0005 4 1001 998 13 13 998 1.000000
fastTree 20 0005 5 1001 998 2 2 998 1.000000
fastTree 20 0005 6 1001 998 0 0 998 1.000000
fastTree 20 0005 7 1001 998 0 0 998 1.000000
fastTree 20 0005 8 1001 998 0 0 998 1.000000
