method replica alignment factor nl ei1 ei2 fp fn rf
method replica alignment factor nl ei1 ei2 fp fn rf
raxml 20 0002 0 1001 998 998 347 347 0.347695
raxml 20 0002 5 1001 998 998 689 689 0.690381
raxml 20 0002 1 1001 998 998 309 309 0.309619
raxml 20 0002 6 1001 998 998 760 760 0.761523
raxml 20 0002 2 1001 998 998 421 421 0.421844
raxml 20 0002 7 1001 998 998 887 887 0.888778
raxml 20 0002 3 1001 998 998 515 515 0.516032
raxml 20 0002 8 1001 998 998 908 908 0.909820
raxml 20 0002 4 1001 998 998 589 589 0.590180
raxml 20 0002 9 1001 998 998 952 952 0.953908
