factor mean-dist min-dist max-dist
 1 0.7375087127127121 0.163333333333 0.788666666667
 5 0.7375073633633633 0.036666666667 0.786
 25 0.7373635849182536 0.005333333333 0.788666666667
 125 0.7367866279612939 0.002 0.789333333333
 625 0.6970712605939281 0.000666666667 0.768
 3125 0.4192540754087411 0.000666666667 0.55
 15625 0.12655395128461908 0.000666666667 0.202
 78125 0.026321562896229042 0.000666666667 0.049333333333
 390625 0.005491296629963765 0.000666666667 0.015333333333
 1953125 0.0009664050717772769 0.000666666667 0.005333333333
 9765625 0.0001457404071177306 0.000666666667 0.002666666667
